Recipes_name,Ingredients,Recipes,Flavor,Difficulty,Estimated Cooking Time
Grilled Cheese Toast,Milk; Cornstarch; Sugar; Cheese slices; Butter; Bread,"Step 1: Microwave milk, sugar, butter, cornstarch, and cheese for 1 minute, stirring until thick and smooth. Step 2: Press down the bread slices lightly, spread the cheese mixture evenly. Step 3: Bake at 180°C for 7 minutes, then at 200°C for 2 minutes until golden. Air fryer: 180°C for 7 minutes, then 2 minutes more if needed. Step 4: Serve warm.",Sweet and Creamy,Easy,15 minutes
Pumpkin Rice Cereal,Baby pumpkin; Glutinous rice; Rice; Red dates; Water,"Step 1: Wash and remove the seeds from the pumpkin, cut into chunks. Step 2: Rinse glutinous rice and rice. Step 3: Add washed red dates. Step 4: Put all ingredients into a blender suitable for hot drinks, add about 1000ml water (adjust depending on blender capacity and desired thickness). Step 5: Select the rice cereal mode and blend for 25 minutes until smooth and thick.",Sweet,Easy,25 minutes
Microwave Toast Cubes,Toast slices; Chili powder; Five-spice powder; Cumin powder; MSG; Sugar; Salt; Garlic powder,"Step 1: Cut toast into cubes and microwave on medium heat for 90 seconds. If not crispy, heat for another 30 seconds. Step 2: Mix the seasonings in a bag, add toast cubes, shake well, and serve.",Spicy and Savory,Easy,10 minutes
Microwave Steamed Flower Rolls,Flour; Cornmeal; Yeast; Baking powder (optional); Baking soda; Water; Sugar; Oil; Salt; Chopped scallion; Pork floss,"Step 1: Mix all ingredients into a smooth dough, shape into rolls, and let rise in a large microwave-safe container until soft and puffy. Step 2: Cover loosely, leaving a small vent. Microwave on high for 3 minutes until cooked through (adjust time based on dough size and microwave power). Step 3: Let rest for 1 minute before removing.",Mild and Soft,Medium,25 minutes
Chinese Steamed Pork Buns (Char Siu Bao),Dough: Yeast; Flour; Cornstarch; Sugar; Baking powder; Lard. Filling: Oil; Scallion; Cooked Char Siu; Soy sauce; Oyster sauce; Sugar; Cornstarch. Steaming: Ginger; Lemongrass,"Step 1: Mix yeast with warm water and let it foam. Combine flour, cornstarch, sugar, and baking powder, then mix with yeast water and lard. Knead until smooth, cover, and rest. Step 2: Prepare filling by frying scallion, adding diced Char Siu, sauces, and thickening with cornstarch. Cool completely. Step 3: Divide dough into 12 pieces, fill, seal, and shape. Step 4: Place on parchment squares, proof until slightly puffy. Step 5: Cut a cross on top, spray with water, and steam over boiling water with ginger and lemongrass for 12 minutes.",Sweet and Savory,Hard,90 minutes
Homemade Konjac Tofu,Konjac powder; Baking soda; Water; White vinegar,"Step 1: Heat 2500ml of water to about 45°C. Step 2: Stir in konjac powder with a whisk until smooth. Step 3: Dissolve baking soda in 30g warm water and set aside. Step 4: When mixture reaches a light boil, turn off the heat and add diluted alkali water. Stir quickly for 30–60 seconds. Step 5: Pour into a mold to set. Step 6: Once cooled and firm, soak in cool water with vinegar. Step 7: Boil konjac tofu in fresh water for 5 minutes, then serve or store in water.",Light and Neutral,Medium,40 minutes
Braised Chicken Feet,Chicken feet; Scallion; Ginger; Garlic; Salt; Sugar; Star anise; Cinnamon; Bay leaf; Brown sugar; Oyster sauce; Soy sauce; Dark soy sauce; Cooking wine,"Step 1: Clean chicken feet and remove nails. Boil with ginger and cooking wine, skim foam, and rinse. Step 2: Stir chicken feet with dark soy sauce for color. Step 3: Fry scallion, ginger, garlic, and spices until fragrant. Step 4: Add chicken feet and stir-fry briefly. Step 5: Add water to cover and all remaining seasonings. Simmer on low heat for 40 minutes. Step 6: Reduce the sauce over high heat until thickened and glossy.",Savory and Aromatic,Medium,50 minutes
Avocado Rice Bowl,Rice; Avocado; Corn; Seaweed; White sesame; Fried luncheon meat; Fried egg; Wasabi; Soy sauce; Vinegar; Sugar; Water; Sesame oil,"Step 1: Mix soy sauce, vinegar, sugar, water, and a little wasabi to make a dressing. Step 2: Arrange rice, corn, seaweed, sesame, luncheon meat, and fried egg in a bowl. Step 3: Slice avocado and coat lightly with sesame oil to prevent browning. Step 4: Add avocado and drizzle with dressing before serving.",Fresh and Umami,Easy,15 minutes
Cream Pancakes,Eggs; Whipping cream; Oil; Sugar; Flour; Baking powder; Water,"Step 1: Mix eggs, cream, oil, and sugar. Step 2: Add flour and baking powder. Step 3: Adjust batter with water for desired thickness. Step 4: Heat a non-stick pan over medium heat, pour batter, cook until bubbles form, then flip. Step 5: Cook both sides until golden and serve with honey or syrup.",Sweet and Soft,Easy,20 minutes
Spicy Cashew-Peanut Mix,Canola oil; Roasted unsalted cashews; Roasted unsalted peanuts; Sugar; Coriander powder; Sichuan pepper powder; Salt; Thai chili flakes; Garlic; Fish sauce; Lime juice; Shallot; Thai basil,"Step 1: Heat oil and add nuts, sugar, and spices. Stir-fry for 5 minutes until caramelized. Step 2: Add garlic, fish sauce, and lime juice; cook until dry. Step 3: Bake at 120°C for 10–12 minutes until crisp. Step 4: Toss with shallot and Thai basil, add lime juice, and cool before serving.",Spicy and Tangy,Medium,30 minutes
Double Chocolate Cookie Bars,Butter; Brown sugar; Salt; Vanilla extract; Egg; Baking powder; Instant coffee; Flour; Chocolate chips; Marshmallow (optional),"Step 1: Preheat oven to 350°F (177°C). Grease a 9×13-inch pan. Step 2: Melt butter, mix with sugar, salt, and vanilla. Step 3: Add eggs and mix well. Step 4: Stir in baking powder, coffee, and flour, then chocolate chips. Step 5: Spread into pan and bake for 30–32 minutes until edges are golden. Cool and slice.",Sweet and Chocolatey,Medium,45 minutes
Flourless Peanut Butter Chocolate Cookies,Peanut butter; Brown sugar; Baking soda; Salt; Egg; Vanilla extract; Chocolate chips,"Step 1: Preheat oven to 350°F (176°C). Step 2: Mix peanut butter, sugar, baking soda, and salt. Add egg and vanilla, then chocolate chips. Step 3: Drop spoonfuls onto baking paper, flatten slightly, and bake 8–10 minutes. Cool before serving.",Sweet and Nutty,Easy,20 minutes
Pumpkin Cabbage Vegetable Soup,Onion; Cabbage; Pumpkin; Pepper; Salt; Water,"Step 1: Wash and cut all vegetables. Step 2: Sauté onions until soft and fragrant. Step 3: Add cabbage and stir-fry briefly. Step 4: Add pumpkin and enough water to cover vegetables. Step 5: Bring to a boil, then simmer for 20 minutes. Step 6: Season with salt and pepper and serve warm.",Light and Sweet,Easy,30 minutes
Chive Pockets,Glass noodles; Egg; Dried shrimp; Tofu; Chives; Ground pork; Salt; Sugar; Soy sauce; White pepper; Sesame oil; Flour; Hot water; Cold water,"Step 1: Prepare filling by cooking tofu, pork, and seasonings. Mix with soaked noodles, egg, shrimp, and chopped chives. Step 2: Make the dough using hot water, let rest 20 minutes, then divide into portions. Step 3: Roll into wrappers, fill, fold, and seal. Step 4: Pan-fry with a little oil until golden on both sides.",Savory,Medium,45 minutes
Baked Chicken with Cheese and Potato,Chicken fillet; Potato; Carrot; Mushroom; Onion; Bell pepper; Garlic; Curry sauce; Mozzarella cheese; Basil,"Step 1: Dice all vegetables. Step 2: Pan-fry chicken until golden, set aside. Step 3: Sauté vegetables with salt and curry sauce until tender. Step 4: Combine chicken and vegetables, add water, and simmer until thick. Step 5: Transfer to a baking dish, top with cheese, and bake at 220°C for 13–15 minutes until golden. Sprinkle basil before serving.",Savory and Creamy,Medium,45 minutes
Roasted Chicken Thighs,Boneless chicken thigh; Soy sauce; Oyster sauce; Dark soy sauce; Black pepper; Cornstarch; Lemon juice; Oil; Garlic; Onion; Coriander,"Step 1: Marinate chicken overnight with sauces, pepper, and cornstarch. Step 2: Roast at 395°F (200°C) for 30 minutes. Step 3: Fry garlic, onion, and lemon slices in the chicken drippings, pour over chicken, sprinkle coriander, and serve.",Savory and Aromatic,Medium,40 minutes
Indian Naan Bread,All-purpose flour; Yeast; Salt; Warm water; Maple syrup; Olive oil,"Step 1: Mix flour, yeast, and salt. Add maple syrup and warm water, stir to form dough. Step 2: Knead briefly, place in oiled bowl, cover, and let rise 30 minutes. Step 3: Divide into 8 pieces, roll out, and pan-fry each with a little oil until golden on both sides. Optional: add garlic or brush with butter.",Mild and Buttery,Easy,40 minutes
Ricotta Cheesecake,Ricotta cheese; Powdered sugar; Lemon juice; Vanilla extract; Lemon zest; Salt; Cream cheese; Heavy cream; Biscuit crumbs; Butter; Sugar; Egg yolk; Salt; Strawberries; Gelatin,"Step 1: Mix ricotta, sugar, lemon juice, vanilla, zest, and salt until smooth. Step 2: Beat cream cheese with heavy cream, combine with ricotta mixture. Step 3: Strain and refrigerate overnight to thicken. Step 4: Mix biscuit crumbs with melted butter, sugar, egg yolk, and salt for crust. Step 5: Press crust into pan, pour filling, chill until firm. Top with strawberries in gelatin glaze.",Sweet and Creamy,Hard,120 minutes
Shredded Chicken,Chicken drumstick; Garlic; Chili powder; Sesame; Soy sauce; Oyster sauce; Vinegar; Sugar; Coriander; Scallion,"Step 1: Boil chicken with ginger and cooking wine for 15 minutes. Cool, shred into small pieces. Step 2: Mix garlic, chili, sesame, soy sauce, oyster sauce, vinegar, sugar, and pour hot oil over. Step 3: Toss chicken with sauce, top with coriander and scallion, and serve.",Spicy and Savory,Easy,25 minutes
Steamed Baby Cabbage with Mushrooms,Baby cabbage; Mushroom; Garlic; Salt; Sugar; Matsutake powder; Soy sauce; XO sauce,"Step 1: Place cabbage and mushroom slices in a heatproof dish. Step 2: Heat oil until smoking, pour over minced garlic and seasonings, stir well. Step 3: Pour sauce over cabbage. Step 4: Steam over high heat for 5–6 minutes. Step 5: Add a bit of XO sauce and serve hot.",Light and Umami,Easy,20 minutes
Japanese Milk Bread (Shokupan),Bread flour; Milk; Yeast; Honey; Cream; Sugar; Salt; Butter,"Step 1: Prepare starter dough with flour, milk, and yeast. Step 2: Mix main dough with starter, honey, cream, sugar, salt, and butter. Step 3: Knead until smooth and elastic. Step 4: Let rise, shape, and bake at 180°C until golden brown and soft.",Sweet and Fluffy,Hard,120 minutes
Cold Shredded Chicken Salad,Chicken breast; carrot; cucumber; onion,"1. Boil chicken breast with ginger slices and a bit of cooking wine for 20 minutes. Cool in ice water and reserve one bowl of broth. 2. Heat oil with dried chili, ginger, bay leaf, cinnamon, Sichuan peppercorn, onion, and garlic until fragrant, then remove the spices. 3. Shred chicken and mix with shredded cucumber and carrot. 4. Pour the flavored oil and chicken broth over the mixture. Add salt and soy sauce, toss evenly, and serve cold.","Spicy, refreshing, savory",Easy,25 min
7-Minute Salmon Piccata,Salmon; butter; salt; black pepper; flour; pickled capers; lemon,"1. Season salmon with salt, pepper, and flour. 2. Heat butter over medium-high heat and pan-fry salmon for about 2½ minutes per side, then remove. 3. Add butter and capers, gently crush capers, pour in lemon juice and a bit of water, simmer for 1 minute. 4. Return salmon to the pan, spoon sauce over it, simmer slightly, then serve with the sauce.","Buttery, tangy, fresh",Easy,10 min
Air Fryer Roasted Pork (Low-Fat Version),Pork shank (lean part); scallion; garlic; ginger; lettuce,"1. Slice lean pork into thin strips. Mix with scallion, garlic, and ginger. Add cooking wine, soy sauce, dark soy sauce, five-spice powder, sugar, cumin, and pepper. Massage and marinate for 30 minutes. 2. Air fry at 180°C for 10 minutes, flip, then cook for 5 more minutes. 3. Sprinkle seasoning mix after cooking. 4. Serve wrapped in lettuce with garlic slices and chili strips.","Savory, aromatic, smoky",Medium,25 min
Chocolate Cookies,Cake flour; dark chocolate; cornstarch,"1. Melt chocolate over hot water. 2. Add an equal amount of flour and mix well. 3. Add cornstarch in the same ratio as flour, stir until a smooth dough forms. 4. Shape into cookies or pipe into desired shapes. 5. Bake at 150°C for 8 minutes. Cool before serving for a crispy texture.","Sweet, chocolatey, crunchy",Easy,20 min
Blueberry Milk Smoothie,Blueberries; milk; honey (optional); yogurt (optional),"1. Rinse blueberries; thaw if frozen. 2. Blend blueberries, milk, yogurt, and honey until smooth. 3. Serve immediately chilled.","Fruity, creamy, refreshing",Easy,5 min
Bacon Avocado Breakfast Burger,Burger bun; egg; bacon; avocado; cheese,"1. Pan-fry egg, bacon, and melt cheese. 2. Slice avocado. 3. Cut the bun, spread melted cheese, and layer egg, bacon, and avocado. Serve warm.","Savory, creamy, rich",Easy,10 min
Fermented Bayberry Wine,Bayberry; water; yeast (or probiotic enzyme); rock sugar,"1. Steam bayberries for 2–3 minutes, then cool to room temperature. 2. Place bayberries in a clean jar, add fermentation starter and rock sugar. 3. Pour in the steaming water until nearly full, leaving room for air. 4. Cover loosely and ferment in a cool, ventilated place for 7–10 days. 5. Filter the liquid, adjust sweetness if needed, and refrigerate for mild secondary fermentation.","Fruity, sweet-sour, aromatic",Medium,30 min (prep) + 7–10 days (ferment)
Easy Butter Bread Rolls,Bread flour; milk; salt; yeast; egg; butter; sugar,"1. Mix all ingredients into a dough. Rest 20 minutes, fold twice, and let rise 30 minutes until stretchy. 2. Divide into 30 g balls, arrange on a tray, proof until doubled. 3. Brush with egg wash and bake at 175°C for 18 minutes (or air fry at 160°C for 15 minutes).","Buttery, soft, slightly sweet",Medium,90 min
Stir-Fried Lettuce with Canned Dace and Black Beans,Lettuce; garlic; canned dace with black beans; soy sauce,"1. Cut lettuce into 5 cm pieces. Remove fish bones and shred. 2. Heat oil from the can, fry garlic and fish. 3. Add lettuce stems first, then leaves, stir-fry on high heat, drizzle soy sauce, and cook until just wilted.","Savory, garlicky, umami",Easy,10 min
Stir-Fried Water Bamboo with Shrimp Roe,Water bamboo; shrimp roe; Shaoxing wine; soy sauce; sugar; scallion; salt; ginger,"1. Peel and cut bamboo into chunks, blanch 3 minutes, and drain. 2. Sauté scallion and ginger in oil until golden. 3. Add shrimp roe, stir 20 seconds, then deglaze with Shaoxing wine. 4. Add bamboo, soy sauce, sugar, and salt with a bit of water. Simmer 5 minutes until sauce thickens.","Umami, savory, aromatic",Medium,20 min
Butter Black Pepper Shrimp,Shrimp; butter; salt; black pepper; garlic; ginger; cilantro; green chili; soy sauce; oyster sauce; sugar; cornstarch,"1. Clean shrimp, cut along the back. 2. Fry shrimp until golden, remove. 3. Melt butter, add garlic and ginger, then shrimp and sauce mixture (soy, oyster, sugar, pepper, cornstarch). 4. Stir-fry briefly, add cilantro and chili before serving.","Buttery, peppery, aromatic",Medium,20 min
Stir-Fried Squid with Cauliflower,Squid; cauliflower; onion; green pepper; soy sauce; dark soy sauce; Shaoxing wine; salt; sugar; pepper; oyster sauce; cornstarch,"1. Cut cauliflower into florets, slice onion and pepper. Clean and score squid, blanch briefly, drain. 2. Stir-fry cauliflower dry until slightly browned. 3. Add onion, pepper, squid, and seasonings. Stir-fry until sauce thickens.","Umami, light, savory",Medium,25 min
Marinated Raw Shrimp,Fresh shrimp; white liquor; ginger; scallion; salt; soy sauce; sugar; sesame oil; white pepper; cilantro,"1. Clean shrimp and trim whiskers. 2. Mix liquor, ginger, scallion, salt, soy sauce, sugar, and sesame oil. 3. Pour over shrimp, cover, shake, and refrigerate for 20 minutes. 4. Garnish with white pepper and cilantro.","Fresh, aromatic, slightly spicy",Easy,25 min
Braised Pork Rice,Pork belly; onion; star anise; bay leaf; cinnamon; egg; rock sugar; soy sauce; salt; dried mushroom,"1. Blanch pork, dice onion, prepare spices. 2. Sauté onion until browned, add pork and mushrooms. 3. Add sugar, soy sauce, and spices with water, simmer 40 minutes. 4. Add boiled eggs, reduce sauce, and serve over rice.","Sweet-salty, rich, aromatic",Medium,60 min
Salted Duck Eggs,Duck eggs; salt; cinnamon; peppercorn; star anise; bay leaf; white vinegar; white liquor; water; red chili,"1. Clean and dry eggs, spray with vinegar, then sun-dry. 2. Spray with liquor, sun-dry again. 3. Boil salt water with spices, cool, and soak eggs for 40 days.","Salty, aromatic",Easy,10 min (prep) + 40 days (curing)
Spicy Fried Chicken,Chicken; dried chili; Sichuan pepper; soy sauce; dark soy sauce; cooking wine; green chili; sesame seeds,"1. Fry chili and pepper in oil, remove. 2. Fry chicken until golden, add soy sauce and wine, stir well. 3. Add chili back, green chili, and sesame seeds.","Spicy, crispy, numbing",Medium,30 min
Pumpkin Toast,Bread flour; milk powder; sugar; salt; pumpkin purée; yeast; egg; milk; condensed milk; butter; pumpkin seeds,"1. Prepare dough with pre-fermented liquid and scalded flour. Knead until smooth, add butter, and knead until elastic. 2. Let rise, divide, shape, proof, brush egg wash, and top with pumpkin seeds. 3. Bake at 170°C for 40–45 minutes.","Sweet, soft, fluffy",Hard,3 hr
Vinegar Shredded Potatoes,Potato; Sichuan pepper; star anise; dried chili; garlic; soy sauce; vinegar; salt; sugar; sesame oil,"1. Shred and rinse potatoes. 2. Heat oil, fry spices until fragrant. 3. Add potatoes, stir-fry, then add soy sauce, vinegar, salt, and sugar. 4. Finish with garlic and sesame oil.","Tangy, spicy, crisp",Easy,15 min
Mixed Braised Meat Pot,Pig trotter; chicken feet; chicken drumsticks; egg; dried chili; ginger; garlic; soy sauce; dark soy sauce; beer; salt; sugar,1. Blanch all meats with ginger and wine. 2. Pressure-cook pig trotter for 25 min. 3. Add all ingredients and simmer 15 min. 4. Let rest covered for deeper flavor.,"Savory, rich, aromatic",Medium,60 min
Vegetable Steamed Buns,Flour; yeast; warm water; carrot; purple sweet potato; spinach; dragon fruit; pumpkin,"1. Blend each vegetable with water, strain juice, and mix with flour and yeast. 2. Knead into dough, ferment until doubled. 3. Shape and steam until fluffy.","Mild, naturally sweet",Easy,60 min
Purple Cabbage Fried Rice,Purple cabbage; shrimp; peas; corn; rice; soy sauce; salt,"1. Chop cabbage, fry with shrimp, peas, and corn. 2. Add rice, soy sauce, and salt, stir evenly. Serve warm.","Light, colorful, savory",Easy,15 min
Bayberry Juice,Bayberry; water; rock sugar; salt,"1. Soak bayberries in 2 spoons of salt for 10 minutes, rinse well. 2. In a pot, add water, bayberries, rock sugar, and salt. Boil for 10 minutes. 3. Remove bayberries, cool, and squeeze by hand to separate juice and pulp. 4. Strain through a fine cloth or tea bag to remove seeds. 5. Pour into bottles and refrigerate. Add ice when drinking. Adjust sugar to taste since cold juice tastes less sweet.","Sweet, fruity, refreshing",Easy,20 min
Pan-Seared Chicken Breast (Low-Fat Version),Chicken breast; seasoning powder,1. Soak chicken breast in salted water for 30+ minutes for tenderness. 2. Marinate with spice mix. 3. Heat pan on medium-high heat and sear each side for about 7 minutes.,"Light, savory",Easy,20 min
Spicy Chicken with Chilies,Chicken thigh (cut into small pieces); dried chili (boiled 1 min); Sichuan pepper; ginger; garlic; scallion; sesame; peanuts,"1. Marinate chicken with ginger, salt, pepper, cooking wine, soy sauce, egg yolk, and cornstarch. 2. Fry chicken until golden, remove and re-fry once for crispiness. 3. Sauté spices and dried chili, add chicken, season with salt, sugar, cumin, sesame oil, and chili oil. 4. Finish with scallion, sesame, and peanuts.","Spicy, aromatic, crispy",Hard,40 min
Creamy Pecan Snack,Pecans; heavy cream; sea salt,"1. Mix pecans with cream and sea salt, marinate for 1 hour. 2. Bake at 150°C for 25 minutes, flipping halfway. Bake until slightly dry on the outside and crisp when cooled.","Sweet, nutty, creamy",Easy,40 min
Bayberry Lychee Summer Drink,Bayberry; water; lychee; rock sugar; lemon; salt,"1. Soak bayberries in salted water 30 minutes, rinse well. 2. Boil with rock sugar for 10 minutes, add peeled lychees in last 5 minutes. 3. Cool and add sliced lemon. 4. Chill overnight before serving.","Sweet, fruity, tangy",Easy,30 min
Black Sesame Banana Bagel,Black sesame bagel; banana,"1. Slice banana and heat with bagel in air fryer at 170°C for 4 minutes. 2. Mash banana, spread evenly as filling, and enjoy warm.","Sweet, nutty, soft",Easy,10 min
Peach Coconut Jelly Cake,Water chestnut flour; peach; coconut milk; sugar,1. Blend peeled peach with water to make juice. 2. Mix peach juice with flour and coconut milk. 3. Steam layer by layer until firm. 4. Cool completely before cutting.,"Sweet, fruity, chewy",Medium,60 min
Earl Grey Orange Sablé Cookies,Unsalted butter; powdered sugar; egg yolk; cake flour; almond flour; salt; orange zest; Earl Grey tea,"1. Mix softened butter, sugar, and salt. 2. Add egg yolk, then flour and almond powder. 3. Add orange zest and crushed tea leaves. 4. Shape into a log, chill 1 hour, slice, and bake at 160°C for 20–22 min.","Sweet, buttery, floral",Medium,40 min
Pumpkin Milk Toast,Bread flour; cream; pumpkin; yeast; egg; salt; butter; sugar; condensed milk,"1. Mix all ingredients except butter and salt, knead until elastic. 2. Add salt and butter, knead to a smooth dough. 3. Ferment 1 hr, divide, rest 20 min. 4. Roll, fill with pumpkin paste, shape, and proof 40–60 min. 5. Bake at 150°C (top) / 195°C (bottom) for 30 min.","Sweet, soft, fluffy",Medium,2 hr
Stir-Fried Pork with Pickled White Chilies,Pork; white chili; garlic; red chili; oyster sauce; soy sauce; salt; MSG,"1. Slice meat and marinate with soy sauces and oyster sauce. 2. Stir-fry fatty meat until fragrant, add lean meat and cook until browned. 3. Add chopped white chili, salt, and stir-fry 2 minutes. 4. Combine everything and season to taste.","Spicy, savory, aromatic",Medium,25 min
Lotus and Dried Squid Soup,Dried squid; ginger; lotus root; pork fat; lotus seeds; goji berries; dried tangerine peel,1. Soak squid and lotus seeds in water. 2. Cut lotus root into chunks. 3. Simmer all ingredients with water for 40–60 minutes. 4. Season with salt and serve hot.,"Savory, nourishing, herbal",Medium,1 hr
Microwave Lemon Curd,Lemon juice; sugar; butter; egg; lemon zest,"1. Whisk all ingredients in a large microwave-safe bowl. 2. Microwave 1 minute at a time, stirring each time, until thick (4–8 min). 3. Strain, cover with plastic wrap, and cool. Chill 3 hrs before serving.","Tangy, creamy, rich",Medium,20 min
10-Minute Garlic Shrimp,Soy sauce; garlic; sugar; chili paste; shrimp; scallion,"1. Heat oil, turn off heat briefly, add garlic. 2. Add soy sauce, sugar, and chili paste. 3. Add shrimp and stir-fry until cooked. 4. Add scallions and serve.","Spicy, garlicky, savory",Easy,10 min
Yogurt Angel Cake Roll (Custard Filling),Yogurt; corn starch; eggs; sugar; oil; flour; milk powder; lemon juice; vanilla,"1. Cook custard by heating yogurt, egg, sugar, and starch until thick, cool and set aside. 2. Make cake base with whipped egg whites, yolk mixture, and dry ingredients. 3. Bake at 170°C for 39 min. 4. Spread custard and roll while warm, chill overnight.","Sweet, creamy, soft",Hard,90 min
Hunan Spicy Pork Ribs,Pork ribs; chili; garlic; fermented black beans; star anise; cinnamon; beer; soy sauce; salt,"1. Fry ribs until browned, add star anise and cinnamon. 2. Add beer, salt, and simmer 10 min. 3. Separately stir-fry chili, garlic, and beans, then mix with ribs and sauce.","Spicy, savory, fragrant",Medium,40 min
Tomato Jam,Tomato,"1. Sterilize jars. 2. Blanch and peel tomatoes, pack into jars. 3. Steam sealed jars for 40 minutes, cool, and refrigerate.","Sweet, tangy",Easy,50 min
